event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:altitude,argos:best-level,argos:calcul-freq,argos:error-radius,argos:gdop,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,argos:nopc,argos:orientation,argos:pass-duration,argos:semi-major,argos:semi-minor,argos:sensor-1,argos:sensor-2,argos:sensor-3,argos:sensor-4,argos:valid-location-algorithm,argos:valid-location-manual,manually-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
372402844,false,2014-05-19 01:23:14.000,-74.72500000000002,35.608,true,0.0,-129.0,401.6776294,,,"00",35.608,39.171,"A",-74.725,-55.978,3,0,2,,615.0,,,180,227,185,98,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402845,true,2014-05-19 01:28:42.000,-74.767,35.634,,0.0,-116.0,401.6776219,,,"66",35.634,39.12,"1",-74.767,-57.825,6,5,1,,115.0,,,54,66,153,94,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402846,true,2014-05-19 03:02:18.000,-74.774,35.585,,0.0,-126.0,401.6776539,,,"50",35.585,29.633,"1",-74.774,-103.26,7,0,0,,231.0,,,208,71,89,101,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402847,false,2014-05-19 03:04:14.000,,,true,0.0,-129.0,401.6776539,,,"00",,,"Z",,,1,0,,,,,,223,90,233,100,,,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402848,false,2014-05-19 07:09:05.000,-75.29399999999998,35.738,true,0.0,-120.0,401.6776585,,,"30",35.738,35.293,"Z",-75.294,-73.166,8,1,0,,268.0,,,54,66,153,94,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402849,true,2014-05-19 08:26:42.000,-74.911,35.655,,0.0,-132.0,401.6776298,,,"58",35.655,28.729,"0",-74.911,-42.077,5,0,2,,86.0,,,54,66,153,94,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402850,true,2014-05-19 10:03:24.000,-74.75799999999998,35.718,,0.0,-122.0,401.6776489,,,"68",38.921,35.718,"2",-90.024,-74.758,4,0,1,,125.0,,,222,3,201,100,"2","2",,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402851,false,2014-05-19 10:03:35.000,-74.589,35.76,true,0.0,-122.0,401.6776416,,,"56",35.76,33.645,"0",-74.589,-64.287,7,0,1,,147.0,,,217,21,41,100,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402852,false,2014-05-19 13:46:45.000,-74.68600000000004,35.696,true,0.0,-128.0,401.6776333,,,"58",35.696,28.702,"1",-74.686,-42.16,11,0,4,,455.0,,,216,69,13,172,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402853,true,2014-05-19 13:48:27.000,-74.69200000000001,35.67,,0.0,-121.0,401.6776321,,,"56",35.67,29.196,"1",-74.692,-43.18,12,0,2,,455.0,,,216,69,13,36,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402854,false,2014-05-19 19:45:41.000,-74.67700000000002,35.758,true,0.0,-134.0,401.6776249,,,"56",35.758,46.479,"0",-74.677,-20.206,5,0,3,,217.0,,,177,99,25,99,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402855,true,2014-05-19 19:46:14.000,-74.70299999999997,35.7,,0.0,-128.0,401.6776351,,,"58",35.7,40.761,"2",-74.703,-50.497,10,0,4,,350.0,,,184,66,169,98,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402856,true,2014-05-19 21:23:09.000,-74.721,35.684,,0.0,-129.0,401.6776413,,,"08",35.684,37.05,"A",-74.721,-67.899,3,0,2,,68.0,,,180,92,57,102,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402857,false,2014-05-19 21:23:44.000,,,true,0.0,-131.0,401.6776351,,,"00",,,"Z",,,1,0,,,,,,176,103,153,102,,,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402858,false,2014-05-19 22:37:53.000,-72.803,36.699,true,0.0,-137.0,401.6775234,,,"30",36.699,33.385,"Z",-72.803,-55.478,3,0,0,,36.0,,,180,21,57,100,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402859,true,2014-05-20 02:01:19.000,-74.73199999999997,35.599,,0.0,-123.0,401.6776231,,,"68",35.599,36.014,"1",-74.732,-72.701,8,0,2,,134.0,,,186,228,169,103,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402860,false,2014-05-20 06:57:29.000,-74.46299999999997,35.655,true,0.0,-121.0,401.6776578,,,"00",35.655,33.646,"B",-74.463,-67.555,7,0,2,,112.0,,,54,66,153,94,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402861,false,2014-05-20 08:09:59.000,-75.00200000000001,35.882,true,0.0,-134.0,401.6777744,,,"00",35.882,27.449,"A",-75.002,-36.601,3,0,2,,66.0,,,221,246,85,102,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402862,false,2014-05-20 08:44:18.000,-74.863,35.686,true,0.0,-132.0,401.6776445,,,"60",35.686,43.857,"0",-74.863,-116.394,5,0,2,,88.0,,,176,159,73,99,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
